Anchor_Ratio,Transmission_Range,Node_Density,Step_Size,Iterations,ESLE
0.3,17.25,0.01,0.9,90,0.987862022
0.15,17.25,0.01,0.9,90,0.919094514
0.3,17.25,0.01,1,90,0.997740643
0.15,17.25,0.01,1,90,0.928285459
0.3,17.25,0.01,1.2,90,1.000704229
0.15,17.25,0.01,1.2,90,0.931042742
0.15,23,0.01,0.9,90,1.076681106
0.3,23,0.01,0.9,90,0.878764887
0.15,23,0.01,1,90,1.087447917
0.3,23,0.01,1,90,0.887552536
0.15,23,0.01,1.2,90,1.09067796
0.3,23,0.01,1.2,90,0.890188831
0.15,17.25,0.01,0.9,80,1.324727825
0.3,17.25,0.01,0.9,80,1.175216497
0.15,17.25,0.01,1,80,1.337975104
0.3,17.25,0.01,1,80,1.186968662
0.15,17.25,0.01,1.2,80,1.341949287
0.3,17.25,0.01,1.2,80,1.190494312
0.15,23,0.01,0.9,80,1.196316608
0.3,23,0.01,0.9,80,0.773663409
0.15,23,0.01,1,80,1.208279774
0.3,23,0.01,1,80,0.781400043
0.15,23,0.01,1.2,80,1.211868724
0.3,23,0.01,1.2,80,0.783721034
0.3,17.25,0.01,0.9,70,1.175023895
0.15,17.25,0.01,0.9,70,1.032391966
0.3,17.25,0.02,0.9,70,0.642411432
0.15,17.25,0.02,0.9,70,0.637227064
0.15,17.25,0.03,0.9,70,0.538967484
0.3,17.25,0.01,1,70,1.186774134
0.15,17.25,0.01,1,70,1.042715886
0.3,17.25,0.02,1,70,0.648835547
0.15,17.25,0.02,1,70,0.643599335
0.15,17.25,0.03,1,70,0.544357159
0.3,17.25,0.01,1.2,70,7.893321222
0.15,17.25,0.01,1.2,70,1.045813062
0.3,17.25,0.02,1.2,70,0.650762781
0.15,17.25,0.02,1.2,70,0.645511016
0.15,17.25,0.03,1.2,70,0.545974061
0.15,23,0.01,0.9,70,1.085748028
0.3,23,0.01,0.9,70,0.819629611
0.15,23,0.02,0.9,70,0.561632336
0.15,23,0.01,1,70,1.096605508
0.3,23,0.01,1,70,0.827825907
0.15,23,0.02,1,70,0.567248659
0.15,23,0.01,1.2,70,1.099862753
0.3,23,0.01,1.2,70,0.830284796
0.15,23,0.02,1.2,70,0.568933556
0.3,17.25,0.01,0.9,60,1.354020709
0.15,17.25,0.01,0.9,60,1.003134751
0.15,17.25,0.02,0.9,60,0.79903575
0.3,17.25,0.02,0.9,60,0.678555632
0.15,17.25,0.03,0.9,60,0.59251635
0.3,17.25,0.01,1,60,1.367560916
0.15,17.25,0.01,1,60,1.013166099
0.15,17.25,0.02,1,60,0.807026107
0.3,17.25,0.02,1,60,0.685341188
0.15,17.25,0.03,1,60,0.598441513
0.3,17.25,0.01,1.2,60,1.371622978
0.15,17.25,0.01,1.2,60,1.016175503
0.15,17.25,0.02,1.2,60,0.809423214
0.3,17.25,0.02,1.2,60,0.687376855
0.15,17.25,0.03,1.2,60,0.600219062
0.15,23,0.01,0.9,60,1.360695441
0.3,23,0.01,0.9,60,0.810031879
0.15,23,0.02,0.9,60,0.689160432
0.15,23,0.01,1,60,1.374302395
0.3,23,0.01,1,60,0.818132197
0.15,23,0.02,1,60,0.696052037
0.15,23,0.01,1.2,60,1.378384481
0.3,23,0.01,1.2,60,0.820562293
0.15,23,0.02,1.2,60,0.698119518
